n,function,trial,loops,total_seconds,seconds_per_call
10,Mv_mult_1,1,500,0.212715864,0.000425432
10,Mv_mult_2,1,500,0.034419060,0.000068838
10,Mv_mult_1,2,500,0.217683077,0.000435366
10,Mv_mult_2,2,500,0.034628153,0.000069256
10,Mv_mult_1,3,500,0.212551832,0.000425104
10,Mv_mult_2,3,500,0.034048080,0.000068096
10,Mv_mult_1,4,500,0.211264849,0.000422530
10,Mv_mult_2,4,500,0.033294916,0.000066590
10,Mv_mult_1,5,500,0.214643955,0.000429288
10,Mv_mult_2,5,500,0.034003019,0.000068006
15,Mv_mult_1,1,222,0.201241016,0.000906491
15,Mv_mult_2,1,222,0.018598080,0.000083775
15,Mv_mult_1,2,222,0.204249859,0.000920044
15,Mv_mult_2,2,222,0.018332005,0.000082577
15,Mv_mult_1,3,222,0.204235077,0.000919978
15,Mv_mult_2,3,222,0.019720078,0.000088829
15,Mv_mult_1,4,222,0.216171980,0.000973748
15,Mv_mult_2,4,222,0.019058943,0.000085851
15,Mv_mult_1,5,222,0.203830004,0.000918153
15,Mv_mult_2,5,222,0.019298077,0.000086928
25,Mv_mult_1,1,80,0.195882082,0.002448526
25,Mv_mult_2,1,80,0.010354042,0.000129426
25,Mv_mult_1,2,80,0.198022127,0.002475277
25,Mv_mult_2,2,80,0.009565115,0.000119564
25,Mv_mult_1,3,80,0.197720051,0.002471501
25,Mv_mult_2,3,80,0.009752035,0.000121900
25,Mv_mult_1,4,80,0.197793961,0.002472425
25,Mv_mult_2,4,80,0.009989023,0.000124863
25,Mv_mult_1,5,80,0.197937965,0.002474225
25,Mv_mult_2,5,80,0.010565996,0.000132075
30,Mv_mult_1,1,56,0.199400902,0.003560730
30,Mv_mult_2,1,56,0.007854939,0.000140267
30,Mv_mult_1,2,56,0.198881149,0.003551449
30,Mv_mult_2,2,56,0.008241177,0.000147164
30,Mv_mult_1,3,56,0.196969986,0.003517321
30,Mv_mult_2,3,56,0.008304119,0.000148288
30,Mv_mult_1,4,56,0.197170019,0.003520893
30,Mv_mult_2,4,56,0.008219004,0.000146768
30,Mv_mult_1,5,56,0.195125103,0.003484377
30,Mv_mult_2,5,56,0.007594824,0.000135622
35,Mv_mult_1,1,41,0.196308851,0.004788021
35,Mv_mult_2,1,41,0.006464958,0.000157682
35,Mv_mult_1,2,41,0.194633961,0.004747170
35,Mv_mult_2,2,41,0.006803989,0.000165951
35,Mv_mult_1,3,41,0.198005915,0.004829413
35,Mv_mult_2,3,41,0.006078005,0.000148244
35,Mv_mult_1,4,41,0.197280884,0.004811729
35,Mv_mult_2,4,41,0.006608009,0.000161171
35,Mv_mult_1,5,41,0.197417974,0.004815073
35,Mv_mult_2,5,41,0.006586075,0.000160636
40,Mv_mult_1,1,31,0.194216013,0.006265033
40,Mv_mult_2,1,31,0.005383968,0.000173676
40,Mv_mult_1,2,31,0.195024967,0.006291128
40,Mv_mult_2,2,31,0.005489111,0.000177068
40,Mv_mult_1,3,31,0.194578886,0.006276738
40,Mv_mult_2,3,31,0.005642891,0.000182029
40,Mv_mult_1,4,31,0.192662001,0.006214903
40,Mv_mult_2,4,31,0.005901098,0.000190358
40,Mv_mult_1,5,31,0.195039034,0.006291582
40,Mv_mult_2,5,31,0.005148172,0.000166070
45,Mv_mult_1,1,25,0.196712971,0.007868519
45,Mv_mult_2,1,25,0.005309105,0.000212364
45,Mv_mult_1,2,25,0.201216936,0.008048677
45,Mv_mult_2,2,25,0.005263090,0.000210524
45,Mv_mult_1,3,25,0.199398041,0.007975922
45,Mv_mult_2,3,25,0.005779028,0.000231161
45,Mv_mult_1,4,25,0.199432850,0.007977314
45,Mv_mult_2,4,25,0.005021095,0.000200844
45,Mv_mult_1,5,25,0.197970867,0.007918835
45,Mv_mult_2,5,25,0.005777121,0.000231085
50,Mv_mult_1,1,20,0.195894003,0.009794700
50,Mv_mult_2,1,20,0.005238056,0.000261903
50,Mv_mult_1,2,20,0.199584007,0.009979200
50,Mv_mult_2,2,20,0.004951954,0.000247598
50,Mv_mult_1,3,20,0.197273016,0.009863651
50,Mv_mult_2,3,20,0.004348040,0.000217402
50,Mv_mult_1,4,20,0.197516918,0.009875846
50,Mv_mult_2,4,20,0.004638195,0.000231910
50,Mv_mult_1,5,20,0.197721004,0.009886050
50,Mv_mult_2,5,20,0.004974842,0.000248742
55,Mv_mult_1,1,17,0.200592041,0.011799532
55,Mv_mult_2,1,17,0.004275084,0.000251476
55,Mv_mult_1,2,17,0.199191093,0.011717123
55,Mv_mult_2,2,17,0.004232883,0.000248993
55,Mv_mult_1,3,17,0.201595068,0.011858533
55,Mv_mult_2,3,17,0.004355907,0.000256230
55,Mv_mult_1,4,17,0.201082945,0.011828409
55,Mv_mult_2,4,17,0.003803015,0.000223707
55,Mv_mult_1,5,17,0.199379921,0.011728231
55,Mv_mult_2,5,17,0.004303932,0.000253172
60,Mv_mult_1,1,14,0.194736958,0.013909783
60,Mv_mult_2,1,14,0.004058838,0.000289917
60,Mv_mult_1,2,14,0.197935104,0.014138222
60,Mv_mult_2,2,14,0.004543066,0.000324505
60,Mv_mult_1,3,14,0.210690975,0.015049355
60,Mv_mult_2,3,14,0.004127979,0.000294856
60,Mv_mult_1,4,14,0.194745064,0.013910362
60,Mv_mult_2,4,14,0.004024029,0.000287431
60,Mv_mult_1,5,14,0.194818974,0.013915641
60,Mv_mult_2,5,14,0.004112005,0.000293715
65,Mv_mult_1,1,12,0.197558880,0.016463240
65,Mv_mult_2,1,12,0.003575087,0.000297924
65,Mv_mult_1,2,12,0.197962046,0.016496837
65,Mv_mult_2,2,12,0.004138947,0.000344912
65,Mv_mult_1,3,12,0.196277142,0.016356428
65,Mv_mult_2,3,12,0.003294945,0.000274579
65,Mv_mult_1,4,12,0.195213079,0.016267757
65,Mv_mult_2,4,12,0.003236055,0.000269671
65,Mv_mult_1,5,12,0.197394133,0.016449511
65,Mv_mult_2,5,12,0.003536940,0.000294745
70,Mv_mult_1,1,10,0.189698935,0.018969893
70,Mv_mult_2,1,10,0.003385067,0.000338507
70,Mv_mult_1,2,10,0.188399076,0.018839908
70,Mv_mult_2,2,10,0.003087044,0.000308704
70,Mv_mult_1,3,10,0.189343214,0.018934321
70,Mv_mult_2,3,10,0.003071070,0.000307107
70,Mv_mult_1,4,10,0.189394951,0.018939495
70,Mv_mult_2,4,10,0.003102064,0.000310206
70,Mv_mult_1,5,10,0.189692020,0.018969202
70,Mv_mult_2,5,10,0.003559828,0.000355983
75,Mv_mult_1,1,9,0.196081877,0.021786875
75,Mv_mult_2,1,9,0.002774954,0.000308328
75,Mv_mult_1,2,9,0.195711851,0.021745761
75,Mv_mult_2,2,9,0.003321886,0.000369098
75,Mv_mult_1,3,9,0.197928905,0.021992101
75,Mv_mult_2,3,9,0.003499985,0.000388887
75,Mv_mult_1,4,9,0.196287870,0.021809763
75,Mv_mult_2,4,9,0.002882957,0.000320329
75,Mv_mult_1,5,9,0.198215961,0.022023996
75,Mv_mult_2,5,9,0.002811909,0.000312434
80,Mv_mult_1,1,8,0.197510004,0.024688751
80,Mv_mult_2,1,8,0.002905846,0.000363231
80,Mv_mult_1,2,8,0.200344086,0.025043011
80,Mv_mult_2,2,8,0.002789974,0.000348747
80,Mv_mult_1,3,8,0.198843002,0.024855375
80,Mv_mult_2,3,8,0.003288984,0.000411123
80,Mv_mult_1,4,8,0.197443962,0.024680495
80,Mv_mult_2,4,8,0.002883911,0.000360489
80,Mv_mult_1,5,8,0.199742079,0.024967760
80,Mv_mult_2,5,8,0.003393888,0.000424236
85,Mv_mult_1,1,7,0.197043896,0.028149128
85,Mv_mult_2,1,7,0.002312183,0.000330312
85,Mv_mult_1,2,7,0.196852922,0.028121846
85,Mv_mult_2,2,7,0.003109932,0.000444276
85,Mv_mult_1,3,7,0.195243835,0.027891976
85,Mv_mult_2,3,7,0.002599955,0.000371422
85,Mv_mult_1,4,7,0.211014032,0.030144862
85,Mv_mult_2,4,7,0.003225803,0.000460829
85,Mv_mult_1,5,7,0.198219776,0.028317111
85,Mv_mult_2,5,7,0.002495050,0.000356436
90,Mv_mult_1,1,6,0.187823057,0.031303843
90,Mv_mult_2,1,6,0.002892017,0.000482003
90,Mv_mult_1,2,6,0.188964844,0.031494141
90,Mv_mult_2,2,6,0.003321886,0.000553648
90,Mv_mult_1,3,6,0.189183950,0.031530658
90,Mv_mult_2,3,6,0.002273083,0.000378847
90,Mv_mult_1,4,6,0.188142061,0.031357010
90,Mv_mult_2,4,6,0.002295971,0.000382662
90,Mv_mult_1,5,6,0.187980890,0.031330148
90,Mv_mult_2,5,6,0.003083944,0.000513991
95,Mv_mult_1,1,6,0.209295988,0.034882665
95,Mv_mult_2,1,6,0.002719879,0.000453313
95,Mv_mult_1,2,6,0.210178852,0.035029809
95,Mv_mult_2,2,6,0.002518177,0.000419696
95,Mv_mult_1,3,6,0.211988926,0.035331488
95,Mv_mult_2,3,6,0.003298998,0.000549833
95,Mv_mult_1,4,6,0.208312035,0.034718672
95,Mv_mult_2,4,6,0.002705097,0.000450850
95,Mv_mult_1,5,6,0.210366011,0.035061002
95,Mv_mult_2,5,6,0.002645016,0.000440836
100,Mv_mult_1,1,5,0.196002007,0.039200401
100,Mv_mult_2,1,5,0.001978874,0.000395775
100,Mv_mult_1,2,5,0.192519903,0.038503981
100,Mv_mult_2,2,5,0.002430916,0.000486183
100,Mv_mult_1,3,5,0.205922842,0.041184568
100,Mv_mult_2,3,5,0.002831936,0.000566387
100,Mv_mult_1,4,5,0.196102142,0.039220428
100,Mv_mult_2,4,5,0.002001047,0.000400209
100,Mv_mult_1,5,5,0.195343018,0.039068604
100,Mv_mult_2,5,5,0.002235889,0.000447178
110,Mv_mult_1,1,4,0.187922955,0.046980739
110,Mv_mult_2,1,4,0.002612114,0.000653028
110,Mv_mult_1,2,4,0.185843945,0.046460986
110,Mv_mult_2,2,4,0.002532959,0.000633240
110,Mv_mult_1,3,4,0.187975883,0.046993971
110,Mv_mult_2,3,4,0.002676964,0.000669241
110,Mv_mult_1,4,4,0.187893152,0.046973288
110,Mv_mult_2,4,4,0.002665043,0.000666261
110,Mv_mult_1,5,4,0.187019825,0.046754956
110,Mv_mult_2,5,4,0.001859903,0.000464976
120,Mv_mult_1,1,3,0.167806149,0.055935383
120,Mv_mult_2,1,3,0.002177000,0.000725667
120,Mv_mult_1,2,3,0.167464018,0.055821339
120,Mv_mult_2,2,3,0.001882076,0.000627359
120,Mv_mult_1,3,3,0.167702913,0.055900971
120,Mv_mult_2,3,3,0.002140999,0.000713666
